college,college_scorecard,opeid,conference,division
Black Hills State University,Black Hills State University,345900,Rocky Mountain Athletic Conference,NCAA D2
Bloomsburg University of Pennsylvania,Bloomsburg University of Pennsylvania,331500,Pennsylvania State Athletic Conference,NCAA D2
Bluefield College,Bluefield College,370300,Mid-South Conference,NAIA
Bluefield State College,Bluefield State College,380900,Independent Southeast Region,NCAA D2
Bluffton University,Bluffton University,301600,Heartland Collegiate Athletic Conference,NCAA D3
Boise State University,Boise State University,161600,Mountain West Conference,NCAA FBS
Boston College,Boston College,212800,Atlantic Coast Conference,NCAA FBS
Bowdoin College,Bowdoin College,203800,New England Small College Athletic Conference,NCAA D3
Bowie State University,Bowie State University,206200,Central Intercollegiate Athletic Association,NCAA D2
Bowling Green State University,Bowling Green State University-Main Campus,301800,Mid-American Conference,NCAA FBS
Brevard College,Brevard College,291200,South Atlantic Conference,NCAA D3
Briar Cliff University,Briar Cliff University,184600,Great Plains Athletic Conference,NAIA
Bridgewater College,Bridgewater College,370400,Old Dominion Athletic Conference,NCAA D3
Bridgewater State University,Bridgewater State University,218300,Massachusetts State Collegiate Athletic Conference,NCAA D3
Brigham Young University,Brigham Young University-Provo,367000,Independent,NCAA FBS
Brown University,Brown University,340100,Ivy League,NCAA FCS
Bryant University,Bryant University,340200,Northeast Conference,NCAA FCS
Bucknell University,Bucknell University,323800,Patriot League,NCAA FCS
Buena Vista University,Buena Vista University,184700,American Rivers Conference,NCAA D3
Butler Community College,Butler Community College,190600,KJCCC,JC
Butler University,Butler University,178800,Pioneer Football League,NCAA FCS
Butte College,Butte College,807300,California Community College Athletic Association (CCCAA),JC
California Lutheran University,California Lutheran University,113300,Southern California Intercollegiate Athletic Conference,NCAA D3
California Polytechnic State University - San Luis Obispo,California Polytechnic State University-San Luis Obispo,114300,Big Sky Conference,NCAA FCS
California State University - Fresno,California State University-Fresno,114700,Mountain West Conference,NCAA FBS
California State University - Sacramento,California State University-Sacramento,115000,Big Sky Conference,NCAA FCS
California University of Pennsylvania,California University of Pennsylvania,331600,Pennsylvania State Athletic Conference,NCAA D2
Campbell University,Campbell University,291300,Big South,NCAA FCS
Campbellsville University,Campbellsville University,195900,Mid-South Conference,NAIA
Capital University,Capital University,302300,Ohio Athletic Conference,NCAA D3
Carleton College,Carleton College,234000,Minnesota Intercollegiate Athletic Conference,NCAA D3
Carnegie Mellon University,Carnegie Mellon University,324200,University Athletic Association,NCAA D3
Carroll College,Carroll College,252600,Cascade Collegiate Conference,NAIA
Carroll University,Carroll University,383800,College Conference of Illinois and Wisconsin,NCAA D3
Carson-Newman University,Carson-Newman University,348100,South Atlantic Conference,NCAA D2
Carthage College,Carthage College,383900,College Conference of Illinois and Wisconsin,NCAA D3
Case Western Reserve University,Case Western Reserve University,302400,Presidents' Athletic Conference,NCAA D3
Castleton University,Castleton University,368300,Eastern Collegiate Football Conference,NCAA D3
Catawba College,Catawba College,291400,South Atlantic Conference,NCAA D2
Catholic University of America,The Catholic University of America,143700,New England Women's & Men's Athletic Conference,NCAA D3
Central College,Central College,185000,American Rivers Conference,NCAA D3
Central Connecticut State University,Central Connecticut State University,137800,Northeast Conference,NCAA FCS
Central Methodist University,Central Methodist University-College of Liberal Arts and Sciences,245300,Heart of America Athletic Conference,NAIA
Central Michigan University,Central Michigan University,224300,Mid-American Conference,NCAA FBS
Central State University,Central State University,302600,Southern Intercollegiate Athletic Conference,NCAA D2
Central Washington University,Central Washington University,377100,Great Northwest Athletic Conference,NCAA D2
Centre College,Centre College,196100,Southern Athletic Association,NCAA D3
Chadron State College,Chadron State College,253900,Rocky Mountain Athletic Conference,NCAA D2
Chapman University,Chapman University,116400,Southern California Intercollegiate Athletic Conference,NCAA D3
Charleston Southern University,Charleston Southern University,341900,Big South Conference,NCAA FCS
Chowan University,Chowan University,291600,Central Intercollegiate Athletic Association,NCAA D2
Christopher Newport University,Christopher Newport University,370600,New Jersey Athletic Conference,NCAA D3
Cisco College,Cisco College,355300,"Region V, SWJCFC",JC
Citadel Military College of South Carolina,Citadel Military College of South Carolina,342300,Southern Conference,NCAA FCS
Citrus College,Citrus College,116600,Southern California Football Conference,JC
Claremont-Mudd-Scripps Colleges,Claremont McKenna College,117000,Southern California Intercollegiate Athletic Conference,NCAA D3
Clarion University of Pennsylvania,Clarion University of Pennsylvania,331800,Pennsylvania State Athletic Conference,NCAA D2
Clark Atlanta University,Clark Atlanta University,155900,Southern Intercollegiate Athletic Conference,NCAA D2
Clarke University,Clarke University,185200,Heart of America Athletic Conference,NAIA
Clemson University,Clemson University,342500,Atlantic Coast Conference,NCAA FBS
Coahoma Community College,Coahoma Community College,240100,MACCC,JC
Coastal Carolina University,Coastal Carolina University,345100,Sun Belt Conference,NCAA FBS
Coe College,Coe College,185400,American Rivers Conference,NCAA D3
Colby College,Colby College,203900,New England Small College Athletic Conference,NCAA D3
Colgate University,Colgate University,270100,Patriot League,NCAA FCS
College of DuPage,College of DuPage,665600,North Central Community College Conference,JC
College of the Canyons,College of the Canyons,890300,Southern California Football Conference,JC
College of the Holy Cross,College of the Holy Cross,214100,Patriot League,NCAA FCS
College of the Redwoods,College of the Redwoods,118500,"Golden Valley Conference, North Carolina Football Alliance",JC
College of Wooster,The College of Wooster,303700,North Coast Athletic Conference,NCAA D3
Colorado Mesa University,Colorado Mesa University,135800,Rocky Mountain Athletic Conference,NCAA D2
Colorado School of Mines,Colorado School of Mines,134800,Rocky Mountain Athletic Conference,NCAA D2
Colorado State University,Colorado State University-Fort Collins,135000,Mountain West Conference,NCAA FBS
Colorado State University - Pueblo,Colorado State University-Pueblo,136500,Rocky Mountain Athletic Conference,NCAA D2
Columbia University,Columbia University in the City of New York,270700,Ivy League,NCAA FCS
Concord University,Concord University,381000,Mountain East Conference,NCAA D2
Concordia College - Minnesota,Concordia College at Moorhead,234600,Minnesota Intercollegiate Athletic Conference,NCAA D3
Concordia University - Ann Arbor,Concordia University-Ann Arbor,384256,Mid-States Football Association,NCAA D2
Concordia University - Chicago,Concordia University-Chicago,166600,Northern Athletics Collegiate Conference,NCAA D3
Concordia University - Nebraska,Concordia University-Nebraska,254100,Great Plains Athletic Conference,NAIA
Concordia University Wisconsin,Concordia University-Wisconsin,384200,Northern Athletics Collegiate Conference,NCAA D3
"Concordia University, St. Paul - Minnesota",Concordia University-Saint Paul,234700,Northern Sun Intercollegiate Conference,NCAA D2
Copiah-Lincoln Community College,Copiah-Lincoln Community College,240200,"MACCC, Region 23",JC
Cornell College,Cornell College,185600,Midwest Conference,NCAA D3
Cornell University,Cornell University,271100,Ivy League,NCAA FCS
Crown College,Crown College,238300,Upper Midwest Athletic Conference,NCAA D3
Culver-Stockton College,Culver-Stockton College,246000,Heart of America Athletic Conference,NAIA
Cumberland University,Cumberland University,348500,Mid-South Conference,NAIA
Curry College,Curry College,214300,Commonwealth Coast Conference,NCAA D3
Dakota State University,Dakota State University,346300,North Star Athletic Association,NAIA
Dakota Wesleyan University,Dakota Wesleyan University,346100,Great Plains Athletic Conference,NAIA
Dartmouth College,Dartmouth College,257300,Ivy League,NCAA FCS
Davenport University,Davenport University,224900,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Davidson College,Davidson College,291800,Pioneer Football League,NCAA FCS
Dean College,Dean College,214400,Eastern Collegiate Football Conference,NCAA D3
Defiance College,Defiance College,304100,Heartland Collegiate Athletic Conference,NCAA D3
Delaware State University,Delaware State University,142800,Mid-Eastern Athletic Conference,NCAA FCS
Delaware Valley University,Delaware Valley University,325200,Middle Atlantic Conferences,NCAA D3
Delta State University,Delta State University,240300,Gulf South Conference,NCAA D2
Denison University,Denison University,304200,North Coast Athletic Conference,NCAA D3
DePauw University,DePauw University,179200,North Coast Athletic Conference,NCAA D3
Dickinson College,Dickinson College,325300,Centennial Conference,NCAA D3
Dickinson State University,Dickinson State University,298900,North Star Athletic Association,NAIA
Dixie State University,Dixie State University,367100,Western Athletic Conference,NCAA FCS
